MONTH,Rg,T,NEE,VPD,H,LE
1.0,12.16,2.16,-0.321587,0.006999999999999999,-32.504,-1.5753
1.0,14.56,2.31,-0.016313,0.006999999999999999,-23.88,2.0799
1.0,16.07,2.38,0.076477,0.006999999999999999,-20.63,5.2655
1.0,9.82,2.43,-0.066952,0.008,-10.712,7.151
1.0,20.08,-0.16,0.675199,0.441,-30.475,24.95
1.0,19.24,-0.21,0.554767,0.495,-13.860999999999999,36.236999999999995
1.0,22.51,-2.34,0.42358900000000005,0.606,0.55252,41.663000000000004
1.0,21.54,-2.27,0.41986599999999996,0.6,7.2893,20.897
1.0,30.56,-5.18,0.47324399999999994,0.24100000000000002,-12.198,8.6466
1.0,34.79,-5.04,0.8308840000000001,0.252,-13.5,15.925999999999998
1.0,36.18,-4.93,0.7843399999999999,0.266,-15.812999999999999,10.615
1.0,38.11,-5.0,-0.142449,0.308,-33.21,2.7424
1.0,17.15,-7.75,0.184248,0.29100000000000004,7.6405,7.0336
1.0,22.15,-8.16,0.6311260000000001,0.327,7.3751,15.735999999999999
1.0,23.5,-8.3,0.30881,0.313,4.1679,8.9479
1.0,22.47,-8.28,0.45220299999999997,0.306,18.547,12.61
1.0,43.22,-7.83,0.40366799999999997,0.303,11.331,3.2342
1.0,24.13,-7.88,0.9707030000000001,0.32899999999999996,15.639000000000001,19.891
1.0,22.21,-8.17,0.610757,0.318,7.4132,9.1888
1.0,28.95,-9.5,-0.17303,0.258,40.635,0.46182
1.0,34.02,-9.2,0.084098,0.259,21.307,0.49309
1.0,28.87,-8.13,0.17571199999999998,0.233,11.017999999999999,-4.8325
1.0,23.72,-7.59,-0.30565,0.23199999999999998,32.957,10.85
1.0,75.58,-7.8,-0.199474,0.335,-27.68,1.7275
1.0,91.49,-7.45,-0.17216700000000001,0.321,2.324,-0.66175
1.0,98.7,-7.16,-0.123063,0.332,20.254,2.0965
1.0,99.54,-6.99,0.190071,0.38299999999999995,22.624000000000002,6.3657
1.0,61.35,-6.74,0.7232569999999999,0.39299999999999996,26.013,5.9109
1.0,79.86,-6.68,0.299537,0.37799999999999995,30.998,6.8467
1.0,22.32,-5.99,0.36506900000000003,0.271,-8.6602,8.4291
1.0,29.34,-5.76,0.409,0.27,-12.265,8.623
1.0,25.31,-5.59,0.21692899999999998,0.271,-14.15,1.2843
1.0,25.31,-5.46,0.051911,0.247,-2.6223,5.2713
1.0,16.12,-5.43,-0.191359,0.19,13.440999999999999,-0.48944
1.0,18.49,-4.0,0.19001700000000002,0.42200000000000004,-5.8809,15.45
1.0,23.87,-3.86,0.189506,0.405,-9.64,16.125
1.0,20.66,-3.91,0.169245,0.34600000000000003,6.3191,3.2472
1.0,12.39,-4.02,0.291958,0.348,6.5813,15.545
1.0,16.65,-4.07,0.733191,0.359,3.1392,21.488000000000003
1.0,18.67,-7.44,-0.21622,0.259,54.496,-0.8888799999999999
1.0,18.25,-7.26,0.6437930000000001,0.252,2.2428,6.7631
1.0,19.3,-6.66,1.10338,0.225,5.5017,5.6892
1.0,46.73,0.13,-0.391718,0.271,-12.535,2.9586
1.0,38.68,0.11,-0.342979,0.255,-11.59,10.890999999999998
1.0,16.41,-2.48,0.027821,0.212,2.9983,10.958
1.0,21.45,0.28,-0.13521,0.006,-4.3974,-10.604000000000001
1.0,47.58,0.35,-0.384156,0.006999999999999999,-20.651,-10.505999999999998
1.0,14.97,0.51,-0.184063,0.006999999999999999,-10.258,-6.8276
2.0,53.45,-4.56,-0.368316,0.172,12.814,3.6153
2.0,74.07,-4.27,0.09031499999999999,0.2,17.117,6.2083
2.0,75.6,-4.12,0.184792,0.23199999999999998,14.487,2.8767
