MONTH,Rg,T,NEE,VPD,H,LE,SW_OUT,LW_IN,LW_OUT,PREC
4.0,112.08,-1.2,-0.02142,2.295,32.786,14.828,7.36,297.09,311.34,0.02
4.0,186.93,-0.96,-1.05693,2.567,45.856,21.152,15.98,295.29,313.27,0.01
4.0,84.56,-1.22,-0.38597,2.839,40.295,1.406,5.18,295.07,310.66,0.0
4.0,190.34,-1.05,-0.893943,3.074,42.07100000000001,38.645,14.84,291.2,312.54,0.0
4.0,297.58,-0.55,-0.902482,3.31,92.992,9.381,27.34,290.55,315.95,0.01
4.0,259.75,-0.5,-1.21326,3.5460000000000003,93.322,5.745,24.09,283.99,316.05,0.02
4.0,234.29,0.17,-1.16194,4.017,86.15799999999999,27.873,23.98,277.28,318.09,0.0
4.0,207.36,0.15,-1.74727,4.253,78.141,29.492,20.1,274.06,317.42,0.0
4.0,239.06,0.41,-2.06191,4.224,157.955,10.639,25.06,267.82,318.87,0.0
4.0,373.89,0.5,-0.241031,2.8960000000000004,139.219,27.042,43.09,240.81,318.68,0.0
4.0,435.27,1.24,-0.621792,3.2710000000000004,217.384,12.689,50.08,241.0,322.46,0.0
4.0,467.37,1.64,-0.677739,3.646,209.091,28.453000000000007,53.92,242.53,324.93,0.0
4.0,491.67,2.26,-0.646816,3.857,283.431,28.773000000000003,54.97,245.07,328.27,0.0
4.0,445.36,2.85,-0.230909,4.067,249.513,42.651,48.94,263.95,330.75,0.0
4.0,453.03,3.95,-1.63189,4.698,258.009,37.44300000000001,48.92,268.06,335.94,0.0
4.0,398.38,4.42,-1.99984,4.909,195.384,60.514,43.49,267.24,337.63,0.0
4.0,351.0,4.21,-1.39052,4.752,189.033,40.699,40.47,257.45,335.26,0.0
4.0,473.27,0.82,-3.14508,2.82,251.001,16.684,55.07,242.51,321.53,0.0
4.0,492.61,1.53,-1.7935900000000002,3.082,193.039,27.478,56.92,240.84,325.43,0.0
4.0,466.75,2.39,-1.58901,3.344,205.363,64.547,49.32,262.29,330.15,0.0
4.0,176.66,2.12,-1.24087,3.53,96.832,40.948,19.37,286.18,325.17,0.0
4.0,299.58,2.39,-1.91299,3.716,116.697,41.99800000000001,31.07,279.48,327.71,0.0
4.0,292.0,2.73,-2.69405,3.902,167.641,41.469,31.42,281.99,330.31,0.0
4.0,338.63,2.84,-2.32175,4.088,178.09599999999998,43.555,35.99,272.44,330.61,0.0
4.0,181.7,2.8,-1.9538,4.274,105.413,11.505999999999998,19.44,293.36,328.2,0.0
4.0,193.58,2.6,-1.89941,4.46,102.642,25.799,19.18,288.71,328.28,0.0
4.0,237.39,2.82,-2.40477,4.461,121.935,14.008,22.99,281.8,329.69,0.0
4.0,445.15,0.32,-0.607917,2.888,176.06599999999997,0.248,49.92,227.33,318.12,0.0
4.0,485.82,0.71,0.280384,3.302,245.158,48.737,54.04,227.22,320.43,0.0
4.0,526.11,0.88,-0.224004,3.715,184.759,19.705,57.69,227.49,322.19,0.0
4.0,527.2,2.18,-1.53831,4.55,252.695,14.709,59.09,242.94,330.05,0.0
4.0,514.11,2.95,-1.32918,5.184,267.637,57.335,58.56,238.43,333.53,0.0
4.0,522.79,3.21,-1.50206,5.395,329.862,32.65,59.59,244.55,335.28,0.0
4.0,426.69,3.36,-1.55875,5.335,215.099,17.076,48.67,248.18,334.48,0.0
4.0,345.75,2.91,-0.49848,3.762,91.08,14.945,37.32,256.51,329.34,0.0
4.0,349.21,3.81,-0.8418620000000001,4.087,152.186,17.771,36.86,263.37,333.58,0.0
4.0,364.67,4.36,-2.48557,4.412,169.907,30.858,38.49,259.41,336.55,0.0
4.0,382.46,7.74,-3.15064,5.23,193.063,41.155,40.38,272.4,352.78,0.0
4.0,199.86,3.85,-3.07755,2.302,77.325,15.66,20.34,311.95,335.52,0.0
4.0,204.22,4.32,-2.47201,2.421,82.59700000000002,27.188,18.95,314.67,338.07,0.0
4.0,289.94,5.0,-3.05667,2.539,96.044,28.393,26.99,312.27,343.16,0.0
4.0,280.87,5.63,-3.69335,2.658,148.838,47.04600000000001,24.91,314.36,345.78,0.0
4.0,339.56,6.27,-2.98972,2.818,159.28,20.471,32.79,315.05,350.41,0.0
4.0,347.46,6.97,-3.97244,2.977,185.13,23.428,38.17,320.25,353.34,0.0
4.0,284.28,6.76,-3.882330000000001,3.137,146.21,30.925,31.86,320.32,350.68,0.0
4.0,172.71,6.45,-2.00725,3.297,69.084,15.73,20.32,325.92,347.53,0.0
4.0,204.35,6.23,-3.2588,3.4560000000000004,75.645,28.924,23.33,325.98,347.17,0.01
4.0,174.64,6.0,-0.688756,3.616,30.039,39.026,20.45,326.16,345.19,0.0
4.0,245.35,5.92,-3.4509800000000004,3.673,97.799,28.703000000000007,27.93,317.3,346.04,0.01
4.0,256.28,3.66,-3.61366,2.4930000000000003,96.742,20.517,26.66,296.42,333.89,0.0
4.0,315.04,4.09,-5.47512,2.8280000000000003,180.66,18.189,34.29,281.99,336.89,0.0
